IVSRV9 | NumVSR,LOCSMQ | Marque,LVSRMO | Modele,CVSRGV | Generation,Carrosserie,LVSRVE | Version1,LVSRE1 | Version2,LVSRE2 | Version3,QVSRC8 | CylindreeArrondie,QVSRDI | PuisDin,Energie,,QVSRF9 | Pfiscale,BoiteVit,,segment,qvsrn9_nbplaces,qvsrdi_puisdin,mindedvsrdx_datedebcom,maxdedvsrfx_datefincom,boitevit_Manuelle,boitevit_Automatique,boitevit_Semi_Automatique,energie_Diesel,energie_Essence,energie_GPL_Essence,energie_Hyb_Ess_Elect,energie_Bio_Carburant_E85,energie_Electrique,energie_GNV_Essence,energie_Hyb_Die_Elect,Nb_DEVIS-1erSEM15,URL PHOTO PAR DEFAUT DU MODELE
96836,AUDI,A3,II,Berline,V6 250 SPORTBACK,QUATT S-LINE,S-TRONIC,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
96835,AUDI,A3,II,Berline,TFSI 200 SPORTBACK,EXCLUSIVE LINE,S-TRONIC,2,200,Essence,,12,Semi Automatique,,,,,,,,,,,,,,,,,,,
96834,AUDI,A3,II,Berline,TDI 105 SPORTBACK,AMBIENTE S-TRONIC,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96833,AUDI,A3,II,Berline,V6 250 QUATTRO,AMBITION S-TRONIC,,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
96832,AUDI,A3,II,Berline,TDI 105 SPORTBACK,AMBITION S-TRONIC,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96789,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,EXCLUSIVE LINE,S-TRONIC,1,8,161,Essence,,10,Semi Automatique,,,,,,,,,,,,,,,,,,
96842,AUDI,A3,II,Berline,V6 250 QUATTRO,S-LINE S-TRONIC 17CV,,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
96793,AUDI,A3,II,Berline,TFSI 160 SPORTBACK,AMBITION LUXE,S-TRONIC,1,8,161,Essence,,10,Semi Automatique,,,,,,,,,,,,,,,,,,
96841,AUDI,A3,II,Berline,V6 250 QUATTRO,AMBITION LUXE,S-TRONIC 17CV,3,2,250,Essence,,17,Semi Automatique,,,,,,,,,,,,,,,,,,
96824,AUDI,A3,II,Berline,TDI 140 EXCLUSIVE,LINE S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96826,AUDI,A3,II,Berline,TDI 105 SPORTBACK,AMBITION LUXE,S-TRONIC,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96827,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBITION LUXE,S-TRONIC,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96828,AUDI,A3,II,Berline,TDI 140 SPORTBACK,AMBIENTE S-TRONIC,,2,140,Diesel,,8,Semi Automatique,,,,,,,,,,,,,,,,,,,
96829,AUDI,A3,II,Berline,V6 250 QUATTRO S,AMBITION LUXE,,3,2,250,Essence,,17,Automatique,,,,,,,,,,,,,,,,,,
96830,AUDI,A3,II,Berline,TDI 105 SPORTBACK,ATTRACTION S-TRONIC,,1,9,105,Diesel,,6,Semi Automatique,,,,,,,,,,,,,,,,,,
96825,AUDI,A3,II,Berline,V6 250 QUATTRO S,EXCLUSIVE LINE,,3,2,250,Essence,,17,Automatique,,,,,,,,,,,,,,,,,,
65392,AUDI,A3,II,Berline,102 ATTRACTION 6CV,,,1,6,102,Essence,,6,Manuelle,,,,,,,,,,,,,,,,,,
65344,AUDI,A3,II,Berline,TDI 140 ATTRACTION,,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
65393,AUDI,A3,II,Berline,102 ATTRACTION 7CV,,,1,6,102,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
65450,AUDI,A3,II,Berline,102 AMBIENTE 6CV,,,1,6,102,Essence,,6,Manuelle,,,,,,,,,,,,,,,,,,
65458,AUDI,A3,II,Berline,TDI 140 AMBIENTE,,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
65759,AUDI,A3,II,Berline,TDI 105 AMBITION,,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
65758,AUDI,A3,II,Berline,TDI 105 AMBIENTE,,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
65757,AUDI,A3,II,Berline,TDI 105 ATTRACTION,,,1,9,105,Diesel,,6,Manuelle,,,,,,,,,,,,,,,,,,
65460,AUDI,A3,II,Berline,TDI 140 AMBITION,LUXE,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
65459,AUDI,A3,II,Berline,TDI 140 AMBITION,,,2,140,Diesel,,8,Manuelle,,,,,,,,,,,,,,,,,,,
65451,AUDI,A3,II,Berline,102 AMBIENTE 7CV,,,1,6,102,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
65457,AUDI,A3,II,Berline,102 AMBITION 7CV,,,1,6,102,Essence,,7,Manuelle,,,,,,,,,,,,,,,,,,
65456,AUDI,A3,II,Berline,102 AMBITION 6CV,,,1,6,102,Essence,,6,Manuelle,,,,,,,,,,,,,,,,,,
